"h: header   
e: entity ","Element 
number   ",Element name ,"ICH Data 
Type ",HL7 Data Type ,"HL7 Data Type 
（sub component) ",Category ,Xpath ,
e ,C.1.4,Date Report Was First Received from Source ,Date/Time ,Interval of Point in Time (IVL<TS>) ,low=Interval Boundary (IVXB) ,Value ,/MCCI_IN200100UV01[@ITSVersion='XML_1.0'][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/effectiveTime/low/@value,
e ,C.1.5,Date of Most Recent Information for This Report ,Date/Time ,Point in Time (TS) , ,Value ,/MCCI_IN200100UV01[@ITSVersion='XML_1.0'][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/availabilityTime/@value,
h ,C.1.6,"Additional Available 
Documents Held by Sender ", , , , ,,
e ,C.1.6.1,Are Additional Documents Available? ,Boolean ,Boolean (BL) , ,Value ,/MCCI_IN200100UV01[@ITSVersion='XML_1.0'][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][observationEvent/code[@code='1'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']][1]/observationEvent[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='BL']/@value,
h ,C.1.6.1.r,Documents Held by Sender (repeat as necessary) , , , ,Repeat Node ,/MCCI_IN200100UV01[@ITSVersion='XML_1.0'][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/reference[@typeCode='REFR'][document/code[@code='1'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.27']],
e ,C.1.6.1.r.1,Documents Held by Sender ,2000AN ,Character String (ST) , ,Value ,/MCCI_IN200100UV01[@ITSVersion='XML_1.0'][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/reference[@typeCode='REFR'][document/code[@code='1'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.27']][r]/document[@classCode='DOC'][@moodCode='EVN']/title/text(),
e ,C.1.6.1.r.2,Included Documents ,N/A ,Encapsulated Data (ED) , ,Value ,/MCCI_IN200100UV01[@ITSVersion='XML_1.0'][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/reference[@typeCode='REFR'][document/code[@code='1'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.27']][r]/document[@classCode='DOC'][@moodCode='EVN']/text/text(),
e ,C.1.7,Does This Case Fulfil the Local Criteria for an Expedited Report? ,Boolean ,Boolean (BL) , ,Value ,/MCCI_IN200100UV01[@ITSVersion='XML_1.0'][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][observationEvent/code[@code='23'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']][1]/observationEvent[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='BL']/@value,
e ,, , , , ,NullFlavor ,/MCCI_IN200100UV01[@ITSVersion='XML_1.0'][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][observationEvent/code[@code='23'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']][1]/observationEvent[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='BL']/@nullFlavor,
h ,C.1.8,"Worldwide Unique Case 
Identification ", , , , ,,
e ,C.1.8.1,Worldwide Unique Case Identification Number ,100AN ,Instance Identifier (II) ,extension=Character String(ST) ,Value ,/MCCI_IN200100UV01[@ITSVersion='XML_1.0'][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/id[@root='2.16.840.1.113883.3.989.2.1.3.2'][1]/@extension,
